time,temperature,humidity,pressure,pm10,pm2_5,carbon_monoxide,european_aqi,gpsID
2023-06-01T00:00,15.4,88,1013.8,17.9,15.6,221,25,1
2023-06-01T01:00,15.1,90,1013.4,19.8,17.5,212,25,1
2023-06-01T02:00,14.5,91,1013.3,20.2,18.0,196,25,1
2023-06-01T03:00,14.2,92,1013.2,20.4,18.9,194,25,1
2023-06-01T04:00,14.0,92,1013.2,21.1,19.9,192,25,1
2023-06-01T05:00,15.3,91,1013.4,22.9,20.9,193,26,1
2023-06-01T06:00,18.5,78,1013.3,22.8,20.8,189,26,1
2023-06-01T07:00,19.9,73,1013.5,20.7,19.5,185,26,1
2023-06-01T08:00,21.1,69,1013.3,19.2,17.7,172,29,1
2023-06-01T09:00,22.3,64,1013.1,18.9,16.4,170,36,1
2023-06-01T10:00,23.3,61,1012.7,17.9,15.6,163,43,1
2023-06-01T11:00,24.1,59,1012.4,17.1,13.6,159,47,1
2023-06-01T12:00,24.7,57,1011.8,16.5,13.3,155,49,1
2023-06-01T13:00,25.0,56,1011.1,15.2,12.2,154,50,1
2023-06-01T14:00,25.3,55,1010.1,15.1,12.0,151,50,1
2023-06-01T15:00,25.5,53,1009.9,15.1,11.9,146,49,1
2023-06-01T16:00,25.0,53,1009.6,15.2,11.6,144,45,1
2023-06-01T17:00,24.2,58,1009.3,15.0,11.2,145,44,1
2023-06-01T18:00,22.4,67,1009.0,16.7,13.4,161,37,1
2023-06-01T19:00,21.7,72,1009.5,17.4,15.1,173,30,1
2023-06-01T20:00,20.0,78,1010.0,18.4,16.1,188,31,1
2023-06-01T21:00,18.8,83,1009.8,18.9,16.0,204,31,1
2023-06-01T22:00,18.1,85,1009.7,18.1,14.9,214,31,1
2023-06-01T23:00,17.4,87,1009.3,16.2,13.8,203,31,1
2023-06-02T00:00,16.7,89,1009.2,13.7,12.1,180,31,1
2023-06-02T01:00,16.2,91,1009.6,13.2,11.8,173,31,1
2023-06-02T02:00,15.6,91,1009.4,13.6,11.8,172,31,1
2023-06-02T03:00,15.4,91,1009.2,14.8,12.8,174,30,1
2023-06-02T04:00,15.2,92,1009.5,16.5,13.9,178,30,1
2023-06-02T05:00,16.6,90,1009.5,21.1,19.0,182,29,1
2023-06-02T06:00,19.9,77,1009.6,20.6,19.5,178,29,1
2023-06-02T07:00,21.5,69,1009.7,19.9,18.6,182,35,1
